technique_name,type
Mixed data learning,method
MixMatch,method
mixture-of-experts (moe),method
mixup,method
model context protocol,method
model merging,method
model pruning,method
momentum contrast (MoCo),method
monte carlo dropout,method
Multi image super-resolution (MISR),method
multi-agent reinforcement learning,method
multi-instance learning,method
multi-modal learning,method
multi-resolution learning,method
multi-scale learning,method
multi-source domain adaptation,method
multi-task learning,method
multi-turn,method
multi-view learning,method
multimodal fusion,method
multiple instance learning,method
multitask pretraining,method
neuro-symbolic learning,method
noise-robust learning,method
non maximum suppression (nms),method
normalization,method
object detection,method
offline reinforcement learning,method
offline reinforcement learning (offline RL),method
offline rl,method
on-policy distillation,method
on-policy distillation (opd),method
one-shot learning,method
online learning,method
online reinforcement learning (online RL),method
online rl,method
open-set recognition,method
open-vocabulary learning,method
open-world learning,method
ordinal regression,method
out-of-distribution detection (OOD detection),method
out-of-distribution generalization (OOD generalization),method
panoptic segmentation,method
parameter-efficient fine-tuning (PEFT),method
pass@1,method
performer,method
personalized federated learning,method
physics-informed learning,method
planning,method
point cloud learning,method
poisoning defense,method
post-training,method
post-training quantization,method
pre-training,method
prefill,method
pretraining,method
privacy-preserving learning,method
probing,method
prompt engineering,method
prompt ensembling,method
prompt learning,method
prompt tuning,method
prototype learning,method
pruning,method
pyramid pooling,method
quantization,method
quantization-aware training (QAT),method
quantized low-rank adaptation (QLoRA),method
ranking learning,method
reasoning and acting (ReAct),method
reasoning tokens,method
regularization,method
reinforcement learning,method
reinforcement learning from human feedback (RLHF),method
reinforcement learning with verifiable rewards (RLVR),method
representation learning,method
reranker (cross-encoder),method
reranking,method
residual block,method
residual connection,method
retrieval-augmented generation (RAG),method
reward hacking,method
reward model,method
reward modeling,method
reward shaping,method
reweighting,method
robotics,method
sample-efficient learning,method
SAR,method
scene graph generation,method
segment anything (sam),method
segment anything adaptation,method
self-consistency decoding,method
self-ensembling,method
self-supervised learning,method
"Self-supervised, unsupervised & contrastive learning",method
self-training,method
semantic segmentation,method
semi-supervised learning,method
sensor fusion,method
seq2seq,method
sequence-to-sequence (Seq2Seq),method
sequence-to-sequence learning (Seq2Seq learning),method
shapley values,method
sharpness-aware minimization,method
sharpness-aware minimization (SAM),method
simple framework for contrastive learning of visual representations (SimCLR),method
simple siamese (SimSiam),method
simulation-to-real transfer,method
Single image super-resolution (SISR),method
skip connection,method
sliding window attention (swa),method
soft prompt tuning,method
softmax,method
source domain transfer,method
source-free domain adaptation,method
sparse modeling,method
sparse retrieval,method
spatio-temporal modeling,method
spectral normalization,method
spectrogram,method
speculative decoding,method
squeeze-and-excitation,method
stable diffusion,method
style transfer,method
subspace learning,method
summarization,method
super-resolution,method
Super-resolution - Miscellaneous,method
supervised learning,method
supervised pretraining,method
swapping assignments between views (SwAV),method
Synthetic data,method
tabular classification,method
tabular regression,method
target domain adaptation,method
task arithmetic,method
task-specific fine-tuning,method
teacher forcing,method
teacher-student learning,method
temporal modeling,method
"Terrain mapping, Disparity Estimation, Lidar, DEMs & NeRF",method
test-time adaptation,method
test-time compute,method
test-time training,method
text classification,method
text generation,method
text ranking,method
text-to-3d,method
text-to-audio,method
text-to-image,method
text-to-speech (TTS),method
text-to-video,method
time series forecasting,method
token classification,method
tool use,method
transfer learning,method
translation,method
tree of thoughts,method
tree-of-thought prompting,method
triplet loss,method
u-net,method
unconditional image generation,method
unlearning,method
unsupervised domain adaptation,method
unsupervised domain adaptation consistency training (UDA consistency training),method
unsupervised learning,method
variance-invariance-covariance regularization (VICReg),method
video classification,method
video-text-to-text,method
video-to-video,method
vision transformer,method
vision-language learning,method
visual document retrieval,method
visual prompt tuning,method
voice activity detection,method
warmup,method
wav2vec,method
wave to vector (wav2vec),method
Weakly & semi-supervised learning,method
weakly supervised learning,method
weight averaging,method
word to vector (word2vec),method
word2vec,method
xavier initialization,method
zero-shot classification,method
zero-shot image classification,method
zero-shot learning,method
zero-shot object detection,method
AA-Index (Estimated),metric
Absolute Relative Error (AbsRel),metric
Accuracy,metric
Accuracy (Average@32),metric
Accuracy (Average@8),metric
Accuracy at 0.5 threshold (Acc@0.5),metric
Action Recall @5 (Action R@5),metric
AP at IoU=0.50 (AP50),metric
AP at IoU=0.75 (AP75),metric
AP Large (APL),metric
AP Medium (APM),metric
AP Small (APS),metric
Area Under Curve (AUC),metric
Area Under Curve @ 10 (AUC@10),metric
Area Under Curve @ 30 (AUC@30),metric
Area Under Curve @20 (AUC@20),metric
Area Under Curve at 1px/1deg threshold (AUC@1),metric
Area Under Curve at 3px threshold (AUC@3),metric
Area Under Curve at 5px/5deg threshold (AUC@5),metric
Area Under the Receiver Operating Characteristic Curve (ROC-AUC),metric
Average Jaccard Index (AJ),metric
Average Length,metric
Average Normalized Levenshtein Similarity (ANLS),metric
Average Precision (AP),metric
Average Precision (average),metric
Average Precision (median),metric
Average Precision (rare categories),metric
Average Precision (zero-shot),metric
Average Score (0-3),metric
Average-All (HELMET average over all subsets),metric
Average-Real (HELMET average on real-world subsets),metric
bilingual evaluation understudy (BLEU),metric
Bits per character (bpc),metric
BLEU Score,metric
BLEURT,metric
Box Average Precision (box AP),metric
Chamfer Distance (mm),metric
Character Error Rate (CER),metric
Chinese Score,metric
ChrF (Character F-score),metric
chrF++ (Character F-score++),metric
Coefficient of Determination (R^2),metric
CometKiwi reference-free machine translation quality score,metric
Completeness (3D reconstruction / matching),metric
Consensus-based Image Description Evaluation (CIDEr),metric
Constraint-violating edges (Conflict),metric
Content Consistency,metric
Correspondence Recall,metric
Corruption Error,metric
Cross-lingual Optimized Metric for Evaluation of Translation (COMET),metric
"Cross-lingual Optimized Metric for Evaluation of Translation, 2022 variant (COMET-22)",metric
Day localization accuracy at 0.25m / 2deg (Day @0.25m/2deg),metric
Day localization accuracy at 0.5m / 5deg (Day @0.5m/5deg),metric
Day localization accuracy at 1.0m / 10deg (Day @1.0m/10deg),metric
Delta < 1.25 (delta1),metric
Delta < 1.25^2 (delta2),metric
Delta < 1.25^3 (delta3),metric
delta_avg_vis (Average delta visibility),metric
Dice Coefficient,metric
dice loss,metric
document question answering (DQA),metric
Edit Distance (overall),metric
Effective Robustness (ER),metric
Elo Rating,metric
English Score,metric
Error Rate,metric
Expert Evaluation Score,metric
"F/7 (F-score, β=7)",metric
F1 Score,metric
Frames Per Second (FPS),metric
Frechet Inception Distance (FID),metric
GEdit-Bench Overall Score (G_O),metric
GenEval Score,metric
Global Average Precision (GAP),metric
GLUE benchmark (development set average),metric
GLUE benchmark test score (GLUE (test)),metric
GPT-4o Score (GPT4o),metric
gradient-weighted class activation mapping (Grad-CAM),metric
ImgEdit Score,metric
In-Context Learning (ICL) Score,metric
Inception Score (IS),metric
Inference Time (seconds),metric
InLoc DUC1 localization accuracy at 0.25m / 2deg (DUC1 @0.25m/2deg),metric
InLoc DUC1 localization accuracy at 0.5m / 5deg (DUC1 @0.5m/5deg),metric
InLoc DUC1 localization accuracy at 1.0m / 10deg (DUC1 @1.0m/10deg),metric
InLoc DUC2 localization accuracy at 0.25m / 2deg (DUC2 @0.25m/2deg),metric
InLoc DUC2 localization accuracy at 0.5m / 5deg (DUC2 @0.5m/5deg),metric
InLoc DUC2 localization accuracy at 1.0m / 10deg (DUC2 @1.0m/10deg),metric
Intersection over Union (IoU),metric
Jaccard and F-measure (J&F) (mean),metric
k-Nearest Neighbors Accuracy (k-NN Accuracy),metric
Kullback-Leibler divergence (KL divergence),metric
Large-vocabulary Average Precision (AP^L),metric
Learned Perceptual Image Patch Similarity (LPIPS),metric
Linear Evaluation Accuracy (Linear Accuracy),metric
LLM-Score,metric
Log10 Error,metric
LongQA Score,metric
Loss,metric
Macro score (macro-averaged score),metric
Mask Average Precision (mask AP),metric
Mask Average Recall at 1000 (All),metric
Mask Average Recall at 1000 (Large),metric
Matthews correlation coefficient,metric
MBAcc (MB Accuracy),metric
Mean Absolute Error (MAE),metric
Mean Absolute Scaled Error (geometric mean over GIFT-Eval slices),metric
Mean Average Accuracy at 10px (mAA@10px),metric
Mean Average Precision (mAP),metric
Mean Average Precision (rare classes),metric
Mean Average Precision at 10 (mAP@10),metric
Mean Corruption Error (mCE),metric
Mean Intersection over Union (OOD),metric
Mean IoU (mIoU),metric
Mean Recall (mR),metric
Mean Recall@1 (Mean Recall at 1),metric
Mean Reciprocal Rank (MRR),metric
Mean Squared Error (MSE),metric
METEOR,metric
Micro F1 Score,metric
mIoU (5-click),metric
MME Cognition Score,metric
MME Perception Score,metric
MMTEB Score,metric
MTEB Score,metric
Multiple-choice 2 accuracy (MC2Acc),metric
Night localization accuracy at 0.25m / 2deg (Night @0.25m/2deg),metric
Night localization accuracy at 0.5m / 5deg (Night @0.5m/5deg),metric
Night localization accuracy at 1.0m / 10deg (Night @1.0m/10deg),metric
Normalized Discounted Cumulative Gain (NDCG),metric
Normalized Discounted Cumulative Gain @10 (NDCG@10),metric
Normalized Discounted Cumulative Gain at 5 (NDCG@5),metric
Normalized Edit Distance (NED),metric
OmniContext Overall Score (OmniContext score),metric
OneIG-Bench Overall Score (OneIG Overall Score),metric
Optimal Dataset Scale (ODS) F-measure,metric
Overall (Chamfer),metric
Overall (GenEval),metric
Overall (ImgEdit),metric
Overall (reconstruction / matching),metric
Paired Accuracy,metric
Panoptic Quality (PQ),metric
pass at 1 (pass@1),metric
Peak Signal-to-Noise Ratio (PSNR),metric
Pearson/Spearman correlation,metric
Perplexity,metric
Precision,metric
question answering,metric
RAG Score (Retrieval-Augmented Generation),metric
Re-rank (Re-ranking score),metric
Recall,metric
Recall at 1 (R@1),metric
Recall at 10 (R@10),metric
Recall at 5 (R@5),metric
Recall at 50 (R50),metric
recall-oriented understudy for gisting evaluation (ROUGE),metric
RMSE log,metric
Root Mean Squared Error (RMSE),metric
ROUGE Score,metric
ROUGE-1,metric
ROUGE-2,metric
ROUGE-L,metric
RTFx,metric
saliency mapping,metric
scaling law,metric
scaling laws,metric
Score,metric
Score (1-10),metric
Score (Score (0-10)),metric
score-based generative modeling,metric
sentence similarity,metric
SODA score (SODA),metric
spBLEU (sentencepiece BLEU),metric
Speaker Similarity,metric
Structural Similarity Index Measure (SSIM),metric
Success Rate,metric
table question answering,metric
Task1-31 Overall (ICE-Bench),metric
Template Modeling score (TM-score),metric
Test Average Precision (TestAP),metric
time to first token (TTFT),metric
Top-1 Accuracy,metric
Top-5 Accuracy,metric
Top-5 Error,metric
Top-5 Localization Error,metric
uncertainty estimation,metric
Verb Recall @5 (Verb R@5),metric
Video Panoptic Quality (VPQ),metric
visual question answering (VQA),metric
VQA Score,metric
Win Rate (percentage),metric
WISE Score,metric
Word Accuracy,metric
Word Error Rate (WER),metric
xCOMET-XL (xCOMETxl),metric
XCOMET-XXL neural machine translation quality score,metric
A Lite BERT (ALBERT),model
Afmoe,model
Aimv2,model
Align,model
AlphaZero,model
AltCLIP,model
Apertus,model
Arcee,model
Aria,model
AST,model
AudioFlamingo3,model
Autoformer,model
Bamba,model
Bark,model
Beit,model
BertGeneration,model
bidirectional encoder representations from transformers (BERT),model
bidirectional encoder representations from transformers optimized approach (RoBERTa),model
BigBird,model
BigBirdPegasus,model
BioGpt,model
Bit,model
BitNet,model
Blenderbot,model
BlenderbotSmall,model
Blip,model
Blip2,model
Blip2QFormer,model
Bloom,model
Blt,model
BltGlobalTransformer,model
BridgeTower,model
Bros,model
Camembert,model
Canine,model
Chameleon,model
ChineseCLIP,model
CHMv2,model
Clap,model
Claude 3.5 Sonnet,model
Claude 4,model
CLIPSeg,model
Clvp,model
CodeGen,model
Cohere,model
Cohere2,model
CohereAsr,model
ColModernVBert,model
ColQwen2,model
ConditionalDetr,model
contrastive language-image pre-training (CLIP),model
ConvBert,model
ConvNextV2,model
CpmAnt,model
cross-lingual RoBERTa (XLM-RoBERTa),model
Csm,model
CsmDepthDecoder,model
CTRL,model
Cvt,model
Cwm,model
DabDetr,model
Dac,model
Data2VecAudio,model
Data2VecText,model
Data2VecVision,model
Dbrx,model
DecisionTransformer,model
Decoding-enhanced BERT with disentangled attention (DeBERTa),model
Decoding-enhanced BERT with disentangled attention version 2 (DeBERTa-v2),model
DeepSeek-R1,model
DeepseekV2,model
DeepseekV3,model
DeepseekV4,model
DeepseekVL,model
DeepseekVLHybrid,model
DeformableDetr,model
Deimv2,model
dense and unconstrained stereo 3D reconstruction (DUSt3R),model
dense passage retrieval (DPR),model
DepthAnything,model
DepthPro,model
DFine,model
Dia,model
DiffLlama,model
Dinat,model
Dinov2,model
Dinov2WithRegisters,model
DINOv3ConvNext,model
DINOv3ViT,model
DistilBert,model
Doge,model
DonutSwin,model
Dots1,model
DPT,model
EdgeTam,model
EdgeTamVideo,model
EfficientLoFTR,model
EfficientNet,model
embeddings from language models (ELMo),model
Emu3,model
Encodec,model
EncoderDecoder,model
Eomt,model
EomtDinov3,model
Ernie,model
Ernie4_5,model
Ernie4_5_Moe,model
Ernie4_5_VLMoe,model
Esm,model
EuroBert,model
Evolla,model
Exaone4,model
Exaone4_5_,model
ExaoneMoe,model
fairseq machine translation (FSMT),model
Falcon,model
FalconH1,model
FalconMamba,model
FastSpeech2Conformer,model
FastSpeech2ConformerHifiGan,model
FastSpeech2ConformerWithHifiGan,model
FastVlm,model
Flaubert,model
Flava,model
FlavaImage,model
FlavaMultimodal,model
FlexOlmo,model
Florence2,model
FLUX,model
FocalNet,model
Foundational models,model
Funnel,model
Fuyu,model
Gemini 1.5,model
Gemini 2.5,model
Gemma,model
Gemma2,model
Gemma3,model
Gemma3n,model
Gemma4,model
Gemma4Assistant,model
generative pre-trained transformer (GPT),model
generative pre-trained transformer 2 (GPT-2),model
generative pre-trained transformer 3 (GPT-3),model
generative pre-trained transformer 4 (GPT-4),model
generative pre-trained transformer 4 omni (GPT-4o),model
generative pre-trained transformer 5 (GPT-5),model
generative pre-trained transformer J (GPT-J),model
generative pre-trained transformer Neo (GPT-Neo),model
generative pre-trained transformer NeoX (GPT-NeoX),model
Git,model
Glm,model
Glm4,model
Glm46V,model
Glm4Moe,model
Glm4MoeLite,model
Glm4v,model
Glm4vMoe,model
GlmAsr,model
GlmImage,model
GlmMoeDsa,model
GlmOcr,model
global vectors for word representation (GloVe),model
GLPN,model
GotOcr2,model
GPT2,model
GPTBigCode,model
GPTNeoXJapanese,model
GptOss,model
Granite,model
GraniteMoe,model
GraniteMoeHybrid,model
GraniteMoeShared,model
GraniteSpeech,model
GraniteSpeechPlus,model
GroundingDino,model
GroupViT,model
Helium,model
HGNetV2,model
Hiera,model
HiggsAudioV2,model
HiggsAudioV2Tokenizer,model
Hubert,model
HunYuanDenseV1,model
HunYuanMoEV1,model
hybrid reasoning model,model
HYV3,model
IBert,model
Idefics,model
Idefics2,model
Idefics2Perceiver,model
Idefics3,model
IdeficsPerceiver,model
IJepa,model
Informer,model
InstructBlip,model
InstructBlipQFormer,model
InstructBlipVideo,model
InstructBlipVideoQFormer,model
InternVL,model
Jais2,model
Jamba,model
Janus,model
JetMoe,model
JinaEmbeddingsV3,model
Kosmos2,model
Kosmos2_5,model
Laguna,model
large language and vision assistant (LLaVA),model
large language model meta AI (LLaMA),model
Large vision & language models (LLMs & LVMs),model
LasrCTC,model
LayoutLM,model
LayoutLMv2,model
LayoutLMv3,model
LayoutXLM,model
LED,model
Levit,model
Lfm2,model
Lfm2Moe,model
Lfm2Vl,model
LightGlue,model
LightOnOcr,model
Lilt,model
Llama4,model
LlavaNext,model
LlavaNextVideo,model
LlavaOnevision,model
LongcatFlash,model
LongT5,model
Luke,model
LwDetr,model
LwDetrViT,model
Lxmert,model
M2M100,model
Mamba,model
Mamba-2,model
Mamba-3,model
Mamba2,model
Marian,model
MarkupLM,model
MaskFormerSwin,model
MBart,model
MegatronBert,model
MetaClip2,model
Mgpstr,model
Mimi,model
MiniCPMV4_6,model
MiniMax,model
MiniMaxM2,model
Ministral,model
Ministral3,model
Mistral,model
Mistral3,model
Mistral4,model
Mixtral,model
MLCDVision,model
Mllama,model
MMGroundingDino,model
MobileBert,model
MobileNetV1,model
MobileViTV2,model
ModernBert,model
ModernBertDecoder,model
ModernVBert,model
Moonshine,model
MoonshineStreaming,model
Moshi,model
MoshiDepth,model
MPNet,model
Mpt,model
Mra,model
MT5,model
MusicFlamingo,model
Musicgen,model
MusicgenMelody,model
MuZero,model
Mvp,model
NanoChat,model
Nemotron,model
NemotronH,model
NllbMoe,model
NomicBert,model
non-reasoning model,model
Nougat,model
Nystromformer,model
Olmo,model
Olmo2,model
Olmo3,model
Olmoe,model
OlmoHybrid,model
OmDetTurbo,model
OneFormer,model
OpenAIGPT,model
OpenAIPrivacyFilter,model
OPT,model
Ovis2,model
Owlv2,model
OwlViT,model
PaddleOCRVL,model
PaliGemma,model
ParakeetCTC,model
PatchTSMixer,model
PatchTST,model
PeAudioVideo,model
Pegasus,model
PegasusX,model
Perceiver,model
PerceptionLM,model
Persimmon,model
PeVideo,model
Phi,model
Phi3,model
Phi4Multimodal,model
Phimoe,model
PI0,model
Pix2Struct,model
Pixio,model
PixtralVision,model
PLBart,model
PoolFormer,model
Pop2Piano,model
PPChart2Table,model
PPDocLayoutV2,model
PPDocLayoutV3,model
PPFormulaNet,model
PPLCNet,model
PPLCNetV3,model
PPOCRV5MobileDet,model
PPOCRV5MobileRec,model
PPOCRV5ServerDet,model
PPOCRV5ServerRec,model
PromptDepthAnything,model
ProphetNet,model
Pvt,model
PvtV2,model
QianfanOCR,model
Qwen2,model
Qwen2_5_VL,model
Qwen2_5Omni,model
Qwen2_5OmniBigVGAN,model
Qwen2_5OmniDiT,model
Qwen2_5OmniTalker,model
Qwen2_5OmniThinker,model
Qwen2_5OmniToken2Wav,model
Qwen2Moe,model
Qwen2VL,model
Qwen3,model
Qwen3_5,model
Qwen3_5Moe,model
Qwen3Moe,model
Qwen3Next,model
Qwen3OmniMoe,model
Qwen3OmniMoeTalkerCodePredictor,model
Qwen3OmniMoeThinker,model
Qwen3VL,model
Qwen3VLMoe,model
reasoning model,model
RecurrentGemma,model
RemBert,model
RobertaPreLayerNorm,model
RoCBert,model
RoFormer,model
RTDetr,model
RTDetrResNet,model
RTDetrV2,model
Sam2,model
Sam2HieraDet,model
Sam2Video,model
Sam3,model
Sam3Tracker,model
Sam3TrackerVideo,model
Sam3Video,model
Sam3ViT,model
SamHQ,model
SeamlessM4T,model
SeamlessM4Tv2,model
SeedOss,model
SegGpt,model
segment anything model (SAM),model
SEW,model
SEWD,model
ShieldGemma2,model
Siglip,model
Siglip2,model
SLANet,model
SLANeXt,model
SmolLM3,model
SmolVLM,model
SolarOpen,model
Sora,model
SpeechEncoderDecoder,model
SpeechT5,model
SpeechT5HifiGan,model
Splinter,model
SqueezeBert,model
StableLm,model
Starcoder2,model
SuperGlue,model
SuperPoint,model
SwiftFormer,model
Swin,model
Swin2SR,model
Swinv2,model
SwitchTransformers,model
T5Gemma,model
T5Gemma2,model
T5GemmaModule,model
TableTransformer,model
Tapas,model
text-to-text transfer transformer (T5),model
TextNet,model
TimeSeriesTransformer,model
TimesFm,model
TimesFm2_5,model
Timesformer,model
TimmWrapper,model
TrOCR,model
Tvp,model
Udop,model
UMT5,model
UniSpeech,model
UniSpeechSat,model
UnivNet,model
UperNet,model
UVDoc,model
VaultGemma,model
VibeVoiceAcousticTokenizer,model
VibeVoiceAsr,model
VideoLlama3,model
VideoLlava,model
VideoMAE,model
Videomt,model
Vilt,model
VipLlava,model
VisionEncoderDecoder,model
VisionTextDualEncoder,model
VisualBert,model
VitDet,model
ViTMAE,model
VitMatte,model
ViTMSN,model
VitPose,model
Vits,model
Vivit,model
VJEPA2,model
Voxtral,model
VoxtralRealtime,model
Wav2Vec2Bert,model
Wav2Vec2Conformer,model
wave to vector 2.0 (wav2vec 2.0),model
WaveNet,model
WavLM,model
Whisper,model
XCLIP,model
Xcodec,model
XGLM,model
XLM,model
XLMRobertaXL,model
xLSTM,model
Xmod,model
Yolos,model
Yoso,model
you only look once (YOLO),model
you only look once version 3 (YOLOv3),model
you only look once version 8 (YOLOv8),model
Youtu,model
Zamba,model
Zamba2,model
ZoeDepth,model
